District,Admissions per 100000 of population,,,,,,,
County Durham,53,,,,,,, 
Darlington,15,,,,,,,
Gateshead,55,,,,,,,
Hartlepool,47,,,,,,,
Middlesbrough,30,,,,,,,
Newcastle upon Tyne,23,,,,,,,
North Tyneside,23,,,,,,,
Northumberland,23,,,,,,,
Redcar and Cleveland,32,,,,,,,
South Tyneside,93,,,,,,,
Stockton-on-Tees,40,,,,,,,
Sunderland,99,,,,,,,
Blackburn with Darwen,25,,,,,,,
Blackpool,15,,,,,,,
Bolton,19,,,,,,,
Bury,9,,,,,,,
Cheshire East,7,,,,,,,
Cheshire West and Chester,10,,,,,,,
Cumbria,15,,,,,,,
Halton,26,,,,,,,
Knowsley,43,,,,,,,
Lancashire,16,,,,,,,
Liverpool,26,,,,,,,
Manchester,19,,,,,,,
Oldham,12,,,,,,,
Rochdale,15,,,,,,,
Salford,10,,,,,,,
Sefton,22,,,,,,,
St. Helens,12,,,,,,,
Stockport,8,,,,,,,
Tameside,13,,,,,,,
Trafford,8,,,,,,,
Warrington,25,,,,,,,
Wigan,12,,,,,,,
Wirral,6,,,,,,,
Barnsley,28,,,,,,,
Bradford,11,,,,,,,
Calderdale,29,,,,,,,
Doncaster,46,,,,,,,
East Riding of Yorkshire,9,,,,,,,
"Kingston upon Hull, City of",7,,,,,,,
Kirklees,9,,,,,,,
Leeds,5,,,,,,,
North East Lincolnshire,14,,,,,,,
North Lincolnshire,17,,,,,,,
North Yorkshire,10,,,,,,,
Rotherham,15,,,,,,,
Sheffield,14,,,,,,,
Wakefield,8,,,,,,,
York,7,,,,,,,
Derby,12,,,,,,,
Derbyshire,13,,,,,,,
Leicester,7,,,,,,,
Leicestershire,6,,,,,,,
Lincolnshire,10,,,,,,,
Northamptonshire,15,,,,,,,
Nottingham,8,,,,,,,
Nottinghamshire,9,,,,,,,
Rutland                                                                         ,3,,,,,,,
Birmingham,32,,,,,,,
Coventry,21,,,,,,,
Dudley,15,,,,,,,
"Herefordshire, County of",19,,,,,,,
Sandwell,34,,,,,,,
Shropshire,19,,,,,,,
Solihull,28,,,,,,,
Staffordshire,21,,,,,,,
Stoke-on-Trent,38,,,,,,,
Telford and Wrekin,43,,,,,,,
Walsall,25,,,,,,,
Warwickshire,17,,,,,,,
Wolverhampton,24,,,,,,,
Worcestershire,18,,,,,,,
Bedford,17,,,,,,,
Cambridgeshire,12,,,,,,,
Central Bedfordshire,12,,,,,,,
Essex,8,,,,,,,
Hertfordshire,16,,,,,,,
Luton,40,,,,,,,
Norfolk,17,,,,,,,
Peterborough,16,,,,,,,
Southend-on-Sea,9,,,,,,,
Suffolk,9,,,,,,,
Thurrock,22,,,,,,,
Barking and Dagenham,24,,,,,,,
Barnet,21,,,,,,,
Bexley,43,,,,,,,
Brent,34,,,,,,,
Bromley,27,,,,,,,
Camden,21,,,,,,,
City of London,16,,,,,,,
Croydon,29,,,,,,,
Ealing,39,,,,,,,
Enfield,24,,,,,,,
Greenwich,41,,,,,,,
Hackney,28,,,,,,,
Hammersmith and Fulham,26,,,,,,,
Haringey,26,,,,,,,
Harrow,21,,,,,,,
Havering,14,,,,,,,
Hillingdon,38,,,,,,,
Hounslow,37,,,,,,,
Islington,27,,,,,,,
Kensington and Chelsea,23,,,,,,,
Kingston upon Thames,28,,,,,,,
Lambeth,49,,,,,,,
Lewisham,62,,,,,,,
Merton,24,,,,,,,
Newham,19,,,,,,,
Redbridge,14,,,,,,,
Richmond upon Thames,14,,,,,,,
Southwark,70,,,,,,,
Sutton,22,,,,,,,
Tower Hamlets,15,,,,,,,
Waltham Forest,21,,,,,,,
Wandsworth,26,,,,,,,
Westminster,22,,,,,,,
Bracknell Forest,13,,,,,,,
Brighton and Hove,18,,,,,,,
Buckinghamshire,9,,,,,,,
East Sussex,24,,,,,,,
Hampshire,21,,,,,,,
Isle of Wight,13,,,,,,,
Kent,21,,,,,,,
Medway,24,,,,,,,
Milton Keynes,20,,,,,,,
Oxfordshire,10,,,,,,,
Portsmouth,39,,,,,,,
Reading,22,,,,,,,
Slough,15,,,,,,,
Southampton,29,,,,,,,
Surrey,21,,,,,,,
West Berkshire,20,,,,,,,
West Sussex,23,,,,,,,
Windsor and Maidenhead,9,,,,,,,
Wokingham,15,,,,,,,
Bath and North East Somerset,11,,,,,,,
"Bournemouth, Christchurch and Poole",16,,,,,,,
"Bristol, City of",20,,,,,,,
Cornwall,29,,,,,,,
Devon,10,,,,,,,
Dorset,17,,,,,,,
Gloucestershire,9,,,,,,,
Isles of Scilly,30,,,,,,,
North Somerset,18,,,,,,,
Plymouth,33,,,,,,,
Somerset,21,,,,,,,
South Gloucestershire,18,,,,,,,
Swindon,10,,,,,,,
Torbay,12,,,,,,,
Wiltshire,13,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
